ds_owner,id,gender,age_group,handedness,education,color_blindness,hours_sleep,art_light_r_w,light_dir_r_s ,photo_training,carto_gis_training,geovis_3d_training,satellite_training,photo_exposure,carto_gis_exposure,geovis_3d_exposure,satellite_exposure,mask,circle_below,circle_above,shapes_01,shapes_02,shapes_03,shapes_04,shapes_05,shapes_06,shapes_07,shapes_08,shapes_09,shapes_10,Q10_R000_0,Q10_R000_270,Q10_R000_292_5,Q10_R000_315,Q10_R000_337_5,Q20_R045_0,Q20_R045_270,Q20_R045_292_5,Q20_R045_315,Q20_R045_337_5,Q30_R090_0,Q30_R090_270,Q30_R090_292_5,Q30_R090_315,Q30_R090_337_5,Q40_R135_0,Q40_R135_270,Q40_R135_292_5,Q40_R135_315,Q40_R135_337_5,Q50_V000_0,Q50_V000_270,Q50_V000_292_5,Q50_V000_315,Q50_V000_337_5,Q60_V045_0,Q60_V045_270,Q60_V045_292_5,Q60_V045_315,Q60_V045_337_5,Q70_V090_0,Q70_V090_270,Q70_V090_292_5,Q70_V090_315,Q70_V090_337_5,Q80_V135_0,Q80_V135_270,Q80_V135_292_5,Q80_V135_315,Q80_V135_337_5
a,1,m,20,l,Currently registered at University/College for Bachelor degree or equivalent,No,6-7 hours,Overhead light,"B,C,D,F,M",5,2,4,5, ,daily, , ,,,,,,,,,,,,,,4,1,1,5,4,5,1,5,5,5,5,4,5,5,5,5,2,4,5,4,2,5,5,2,2,1,5,1,1,1,1,4,4,1,1,1,1,1,2,1
a,2,f,20,r,High school diploma or equivalent ( e.g. NCS or matric ),No,7-8 hours,Overhead light,"A,B,C,D,E,F,G,H,I,J,K,L,M",3,5,3,3,never, ,never,never,,,,,,,,,,,,,,4,5,5,5,4,5,5,5,5,5,5,2,5,5,5,5,4,4,5,5,2,1,1,1,1,1,1,1,5,5,2,2,2,2,5,2,2,2,5,1
a,3,m,20,r,Currently registered at University/College for Bachelor degree or equivalent,No,7-8 hours,Desktop light,"F,G,H,I,J",3,4,3,3, , , , ,,,,,,,,,,,,,,2,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a,4,m,20,r,Currently registered at University/College for Bachelor degree or equivalent,No,7-8 hours,Overhead light,"C,J,M",4,5,3,5, ,daily, , ,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a,5,m,20,r,Currently registered at University/College for Bachelor degree or equivalent,No,6-7 hours,Overhead light,"A,B,C,F,I,L,M",4,5,4,4, , , , ,,,,,,,,,,,,,,5,2,5,2,4,5,5,5,4,5,5,4,4,4,5,4,1,5,4,4,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,5,2,1,1
a,6,m,33,r,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,both,"C,G",1,1,1,4,never,never,never, ,,,,,,,,,,,,,,4,4,4,4,4,5,4,4,4,2,4,3,4,4,4,4,2,5,4,4,1,2,2,2,2,1,2,2,1,1,4,2,2,4,2,1,5,5,2,2
a,7,f,23,r,Currently registered at University/College for Bachelor degree or equivalent,No,5-6 hours,Overhead light,"B,C,D,F,G,K,M",1,3,1,1,never, , , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,1,3
a,8,m,31,r,University/College: Bachelor degree or equivalent,Yes,6-7 hours,Overhead light,"B,C,D,F,M",3,5,4,5, ,daily, , ,,,,,,,,,,,,,,5,4,1,5,5,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,1,1,1,1,4,1,1,1,1,4,1,1,1,1,5,1,1,1
a,9,m,,r,High school diploma or equivalent ( e.g. NCS or matric ),No,7-8 hours,Desktop light,"C,F,G,L",4,5,1,3, , ,never, ,,,,,,,,,,,,,,4,1,5,4,4,5,3,5,5,5,3,4,4,4,5,5,5,4,4,4,1,5,1,1,1,1,1,1,1,3,1,1,5,1,1,1,5,2,3,1
a,10,m,20,r,Currently registered at University/College for Bachelor degree or equivalent,No,7-8 hours,Desktop light,"C,J,L",1,4,4,3,never,daily, , ,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1
a,11,f,46,b,"University/College: Honours, Masters, PhD degree or equivalent",No,4-5 hours,Overhead light,"C,L,M",2,2,2,2,daily,daily,daily,daily,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a,12,f,26,r,University/College: Bachelor degree or equivalent,No,7-8 hours,Overhead light,"B,C,D,F,M",1,1,1,1,never,never,never,never,,,,,,,,,,,,,,5,1,2,2,4,4,1,5,5,5,5,3,5,5,5,5,2,5,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,1
a,13,f,23,l,University/College: Bachelor degree or equivalent,No,7-8 hours,Desktop light,"C,E,G,L,M",3,3,1,1, , , ,never,,,,,,,,,,,,,,5,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,5,1,1
a,14,f,25,r,"University/College: Honours, Masters, PhD degree or equivalent",No,4-5 hours,Overhead light,C,1,3,1,1, ,never, ,never,,,,,,,,,,,,,,5,1,1,5,5,5,5,5,5,5,5,3,4,5,5,5,2,4,5,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1
a,15,m,30,l,University/College: Bachelor degree or equivalent,No,7-8 hours,Overhead light,M,4,3,5,3, , , , ,,,,,,,,,,,,,,5,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,5,4,2,1,2,2,2,2,2,2,2,4,2,2,1,2,4,2,2,4,1,1
a,16,f,36,r,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,both,"A,B,C,D,E,F,G,H,I,J,K,L,M",1,1,1,1,daily,daily, ,daily,,,,,,,,,,,,,,5,1,1,1,2,5,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,5,5,5,5,5,1,5,5,5,5,5,4,5,4,3,5,5,5,2
a,17,m,42,r,"University/College: Honours, Masters, PhD degree or equivalent",No,5-6 hours,Overhead light,"B,C,D,F,G",4,3,5,4, , , , ,,,,,,,,,,,,,,4,2,2,1,4,5,1,4,5,5,4,2,4,4,4,4,2,5,4,5,1,5,5,1,1,1,5,5,4,2,1,4,3,2,2,2,5,5,4,3
a,18,f,41,r,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,Overhead light,"B,C,D",1,3,3,4, , , , ,,,,,,,,,,,,,,4,1,1,4,5,4,2,4,4,4,4,3,4,4,4,5,4,4,4,4,2,5,1,1,1,1,1,1,1,1,3,2,2,1,3,2,1,2,2,2
a,19,m,61,l,"University/College: Honours, Masters, PhD degree or equivalent",No,6-7 hours,Overhead light,"C,G",2,5,2,2,daily, ,daily, ,,,,,,,,,,,,,,4,1,1,1,5,5,5,5,5,5,5,4,5,5,5,5,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
a,20,m,37,r,University/College: Bachelor degree or equivalent,No,6-7 hours,Overhead light,M,4,2,2,2, , , ,daily,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
a,21,f,40,r,"University/College: Honours, Masters, PhD degree or equivalent",No,5-6 hours,both,"H,I",2,2,2,2, , ,daily,daily,,,,,,,,,,,,,,5,1,1,3,5,1,1,5,4,5,5,1,5,5,5,5,1,1,3,5,1,5,5,1,1,1,5,5,5,4,1,3,1,1,1,1,5,5,4,1
a,22,m,25,r,University/College: Bachelor degree or equivalent,No,7-8 hours,Overhead light,"C,D",4,4,5,5, , , , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,5,2,2
a,23,m,27,r,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,both,"B,C,D,E",2,2,5,2,daily, , , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,5,5,2,1
a,24,m,42,r,University/College: Bachelor degree or equivalent,No,More than 8 hours,Desktop light,"H,M",5,2,2,5,daily,daily,daily,daily,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a,25,m,65,b,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,Desktop light,G,5,2,5,5, ,daily, , ,,,,,,,,,,,,,,5,3,2,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1
a,26,f,27,r,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,both,"C,L,M",4,4,1,3, ,daily, , ,,,,,,,,,,,,,,4,3,5,4,4,5,5,5,5,5,5,5,5,5,5,4,3,5,5,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,5,5,2,1
a,27,m,32,r,"University/College: Honours, Masters, PhD degree or equivalent",No,More than 8 hours,Overhead light,C,1,3,1,1, , , , ,,,,,,,,,,,,,,5,2,2,5,4,5,5,5,5,5,5,4,5,5,4,4,2,5,5,5,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,2,3,5,2,1
a,28,m,31,l,"University/College: Honours, Masters, PhD degree or equivalent",Yes,4-5 hours,both,C,2,2,2,2, ,daily,daily,daily,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,4,2,1
a,29,f,44,r,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,Desktop light,"A,C,E",1,2,3,3, ,daily,daily, ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
a,30,f,41,r,"University/College: Honours, Masters, PhD degree or equivalent",No,More than 8 hours,Overhead light,"B,C,D,F,M",5,3,1,1,daily,daily, , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
a,31,m,57,r,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,Overhead light,"G,H,K,L,M",4,2,5,5, , , , ,,,,,,,,,,,,,,5,2,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,5,2,2,2
a,32,m,20,r,Currently registered at University/College for Bachelor degree or equivalent,No,7-8 hours,Overhead light,"C,H,M",1,3,3,1, , , ,never,,,,,,,,,,,,,,4,1,1,1,4,5,2,4,5,5,5,4,5,5,5,5,1,1,4,5,1,4,1,1,1,1,5,1,1,1,1,2,1,1,1,1,5,4,3,1
a,33,m,20,r,Currently registered at University/College for Bachelor degree or equivalent,No,6-7 hours,none,"B,G",3,4,3,3, , , , ,,,,,,,,,,,,,,5,1,2,2,4,5,5,5,4,5,5,5,5,4,5,4,5,4,2,4,2,5,1,1,1,1,4,1,1,1,2,4,1,1,2,2,5,1,1,1
a,34,m,20,r,High school diploma or equivalent ( e.g. NCS or matric ),No,7-8 hours,Overhead light,"C,F",4,4,4,3, , , , ,,,,,,,,,,,,,,5,2,5,5,5,5,4,4,5,5,5,4,4,5,3,4,4,5,4,5,2,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,5,2,2,1
a,35,m,24,l,University/College: Bachelor degree or equivalent,No,5-6 hours,Desktop light,"B,C,F,M",1,3,1,1, , , , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1
a,36,m,20,r,Currently registered at University/College for Bachelor degree or equivalent,No,7-8 hours,Desktop light,C,3,5,4,4, , , , ,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,4,4,5,5,4,2,4,5,1,1,1,5,4,2,1,1,1,1,2,1,1,5,5,2,1
a,37,m,19,r,Currently registered at University/College for Bachelor degree or equivalent,No,5-6 hours,Overhead light,"B,C,D,H,J",3,5,4,4, , , , ,,,,,,,,,,,,,,4,5,4,5,4,5,5,4,5,5,4,3,4,4,4,4,5,4,4,4,2,1,3,2,2,2,2,1,1,1,3,2,2,2,3,2,2,2,2,2
a,38,m,26,r,University/College: Bachelor degree or equivalent,No,7-8 hours,Overhead light,A,3,4,4,4, ,daily, , ,,,,,,,,,,,,,,4,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2
a,39,m,19,r,High school diploma or equivalent ( e.g. NCS or matric ),No,7-8 hours,Overhead light,"B,C,D,F",3,3,1,1,never, ,never,never,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,1,2
a,40,m,55,r,University/College: Bachelor degree or equivalent,No,7-8 hours,Desktop light,"C,G",3,4,3,3, , , , ,,,,,,,,,,,,,,5,1,4,5,5,5,2,1,5,2,4,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,2,3,1,5,1,1,5,1,1,1
a,41,m,25,r,University/College: Bachelor degree or equivalent,No,4-5 hours,Desktop light,"B,C,D,F,M",1,3,1,3,never,never,never,never,,,,,,,,,,,,,,5,2,2,2,5,5,5,4,4,4,4,1,4,4,4,5,2,5,5,5,1,1,5,1,1,2,4,4,4,4,4,5,1,1,4,1,5,2,2,4
