ds_owner,hemisphere,id,gender,age_group,handedness,education,color_blindness,hours_sleep,art_light_r_w,light_dir_r_s,photo_training,carto_gis_training,geovis_3d_training,satellite_training,photo_exposure,carto_gis_exposure,geovis_3d_exposure,satellite_exposure,mask,circle_below,circle_above,shapes_01,shapes_02,shapes_03,shapes_04,shapes_05,shapes_06,shapes_07,shapes_08,shapes_09,shapes_10,q10_R000_0,q10_R000_270,q10_R000_292_5,q10_R000_315,q10_R000_337_5,q20_R045_0,q20_R045_270,q20_R045_292_5,q20_R045_315,q20_R045_337_5,q30_R090_0,q30_R090_270,q30_R090_292_5,q30_R090_315,q30_R090_337_5,q40_R135_0,q40_R135_270,q40_R135_292_5,q40_R135_315,q40_R135_337_5,q50_V000_0,q50_V000_270,q50_V000_292_5,q50_V000_315,q50_V000_337_5,q60_V045_0,q60_V045_270,q60_V045_292_5,q60_V045_315,q60_V045_337_5,q70_V090_0,q70_V090_270,q70_V090_292_5,q70_V090_315,q70_V090_337_5,q80_V135_0,q80_V135_270,q80_V135_292_5,q80_V135_315,q80_V135_337_5
j,northern,1,f,30-39,r,master,no,6,,,little_experience,qualified,,occassionally,,,occassionally,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,4,4,4,5,5,5,5,4,3,4,4,5,4,4,4,3,3,2,4,1,2,1,1,2,1,1,1,2,2,2,1,1,2,4,4,3,2
j,northern,2,m,20-29,r,bachelor,no,8,,,qualified,qualified,,occassionally,,,often,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,4,4,5,2,5,5,4,5,4,5,4,5,1,4,4,5,4,2,2,2,2,1,2,2,1,2,2,1,3,1,2,1,2,4,4,1,2
j,northern,3,m,60-69,r,doctoral,no,7,,,qualified,qualified,,often,,,daily,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,5,5,1,1,5,5,4,1,4,4,5,5,1,1,5,5,1,5,1,1,1,1,5,1,1,1,4,5,1,5,4,2,5,5,1,1
j,northern,4,f,30-39,r,master,no,6,,,qualified,qualified,,rarely,,,often,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,1,5,5,5,1,5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,5,5,3,1
j,northern,5,f,20-29,r,bachelor,no,7,,,little_experience,no_experience,,never,,,rarely,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,5,5,3,5,5,5,5,1,5,5,5,5,1,5,5,5,2,5,1,1,1,1,1,1,1,1,1,5,3,1,1,4,5,5,1,2
j,northern,6,m,30-39,r,master,no,7,,,qualified,qualified,,often,,,daily,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,5,4,5,4,4,4,5,4,4,4,4,4,4,1,4,4,5,1,4,1,2,1,1,1,1,2,2,1,2,1,1,1,1,5,4,1,1
j,northern,7,f,30-39,r,bachelor,no,8,,,qualified,no_experience,,never,,,rarely,,,,ambiguous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,5,5,5,1,1,5,5,5,1,5,5,5,5,1,1,5,5,1,5,1,1,1,1,4,1,1,1,1,3,1,1,1,1,5,5,1,1
j,northern,8,f,20-29,r,bachelor,no,7,,,qualified,no_experience,,occassionally,,,rarely,,,,ambiguous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,4,5,5,2,4,4,4,3,3,4,4,3,4,1,5,4,4,2,2,1,1,1,2,2,1,2,2,2,3,2,2,3,5,5,4,3,2
j,northern,9,m,20-29,r,bachelor,no,7,,,qualified,qualified,,rarely,,,occassionally,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,5,5,5,1,4,5,4,4,2,4,5,5,4,1,5,4,4,2,1,1,1,1,2,1,1,2,2,1,2,2,1,1,2,4,2,2,2
j,northern,10,m,60-69,r,bachelor,no,7,,,little_experience,little_experience,,rarely,,,often,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1
j,northern,11,f,60-69,r,bachelor,no,4,,,no_experience,no_experience,,never,,,rarely,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,4,4,5,3,5,4,4,5,1,5,5,4,5,2,4,3,4,3,4,1,1,1,2,1,1,1,1,1,5,3,1,2,2,2,2,3,1
j,northern,12,m,60-69,r,doctoral,yes,6,,,little_experience,no_experience,,rarely,,,occassionally,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,5,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,1,2,1,2,1,1,5,1,1,1,1,5,1,1,1,1,5,4,5,1
j,northern,13,m,30-39,r,bachelor,no,7,,,qualified,qualified,,occassionally,,,often,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,5,1
j,northern,14,f,20-29,r,bachelor,no,8,,,no_experience,qualified,,occassionally,,,daily,,,pits,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,4,4,2,4,2,4,4,2,4,5,4,3,2,2,2,4,1,4,2,2,2,2,1,2,2,2,1,4,4,2,2,2,2,4,2,2
j,northern,15,m,30-39,r,bachelor,no,4,,,little_experience,no_experience,,occassionally,,,occassionally,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,3,5,5,5,5,5,5,5,1,5,5,5,5,1,1,1,5,1,1,5,1,1,1,5,3,1,1,1,4,1,1,1,1,5,1,1,1
j,northern,17,f,20-29,r,bachelor,no,3,,,no_experience,qualified,,occassionally,,,occassionally,,,pits,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,2,4,4,4,4,4,5,4,2,4,4,4,4,2,3,2,4,2,4,2,2,2,1,1,2,2,2,2,4,2,2,2,2,4,4,2,2
j,northern,19,m,20-29,r,master,no,7,,,little_experience,qualified,,daily,,,daily,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,5,3,5,2,5,5,5,5,3,5,4,5,3,2,2,1,5,2,1,1,1,1,2,1,2,1,1,1,3,3,1,1,3,5,2,3,2
j,northern,20,f,20-29,r,high_school,no,8,,,little_experience,no_experience,,never,,,rarely,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,5,4,5,3,5,4,5,3,2,4,4,4,4,1,5,4,4,2,4,1,1,2,2,2,2,1,1,1,5,2,2,1,2,5,4,1,1
j,northern,21,m,30-39,r,bachelor,no,7,,,qualified,no_experience,,never,,,often,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,4,4,4,2,3,4,4,4,3,4,4,4,4,2,2,4,4,2,2,2,2,1,2,4,2,2,2,2,4,2,2,2,4,4,4,3,2
j,northern,22,m,20-29,r,bachelor,no,7,,,qualified,qualified,,often,,,often,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,5,5,5,1,5,5,5,1,2,1,5,5,5,1,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1
j,northern,23,m,20-29,r,bachelor,no,7,,,no_experience,qualified,,rarely,,,occassionally,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,5,4,5,4,4,4,4,4,4,3,4,4,2,4,4,3,2,4,4,2,1,1,2,1,1,1,2,3,4,2,2,4,4,4,2,2
j,northern,24,f,10-19,r,high_school,no,7,,,qualified,little_experience,,occassionally,,,often,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,5,1,5,5,5,4,2,4,4,4,4,1,5,4,3,1,4,1,1,2,1,1,2,2,2,2,3,2,1,1,1,4,1,4,1
j,northern,25,f,10-19,l,high_school,no,5,,,little_experience,no_experience,,never,,,rarely,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1
j,northern,26,f,20-29,r,high_school,no,5,,,little_experience,no_experience,,never,,,rarely,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,2,3,4,5,3,3,4,4,4,4,2,5,4,4,1,1,3,1,1,1,2,1,1,1,2,4,2,2,2,2,3,3,4,2
j,northern,27,m,70-79,r,high_school,no,6,,,qualified,no_experience,,occassionally,,,occassionally,,,hills,ambiguous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,1,1,1,1,1,1,1,1,1,2,5,1,2,1,1,5,5,5,1
j,northern,28,f,60-69,r,high_school,no,8,,,little_experience,no_experience,,rarely,,,occassionally,,,hills,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,1,5,5,5,5,3,5,5,5,5,1,1,5,5,1,5,5,1,1,1,5,1,1,1,5,5,1,5,1,1,5,5,1,1
j,northern,29,f,20-29,r,high_school,no,7,,,little_experience,little_experience,,rarely,,,rarely,,,pits,pits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,5,5,1,1,5,5,5,1,5,5,5,5,1,2,5,5,1,5,1,1,1,1,5,5,1,1,1,4,5,1,1,1,5,5,5,1
